,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9
state_0,2.049999999999998,0.9999999999999996,0.0,0.0,0.052763157894736776,0.0,1.0524999999999989,0.0,0.0,1.049999999999999
state_1,1.049999999999999,2.0526315789473664,0.0,0.9999999999999996,1.055263157894736,2.1052631578947345,0.0,1.1051249999999988,0.0,1.1027568922305755
state_2,0.0,0.9999999999999996,0.0,0.0,2.1052631578947345,0.0,0.0,0.0,0.05263157894736806,2.0002499999999976
state_3,1.0999999999999988,0.0,0.0,2.099999999999998,1.0999999999999988,0.10524999999999984,2.1052631578947345,0.0,0.0,0.0049999999999999906
state_4,1.9999999999999991,0.0,0.0,1.9999999999999991,0.0,1.0027631578947358,1.9999999999999991,0.0,2.1052631578947345,2.0551378446115267
state_5,1.0999999999999988,1.1026315789473675,1.9999999999999991,0.0,0.0,0.0,0.0,0.0,0.04999999999999995,1.9999999999999991
state_6,0.0,2.049999999999998,0.0,1.9999999999999991,0.9999999999999996,0.0,0.9999999999999996,0.9999999999999996,0.0,1.004999999999999
state_7,0.9999999999999996,1.0526315789473673,0.9999999999999996,0.0,0.0999999999999999,0.9999999999999996,0.0,1.049999999999999,0.0,0.9999999999999996
state_8,0.0,1.0526315789473673,0.0,0.0,0.0,2.099999999999998,0.0,0.05525624999999991,0.9999999999999996,0.0
state_9,0.9999999999999996,2.0526315789473664,0.0,0.0,1.0526315789473673,0.0,1.1052631578947358,0.0,0.0026315789473683854,1.049999999999999
state_10,0.0,0.0999999999999999,0.0,0.0,0.0,2.1049999999999978,0.9999999999999996,0.9999999999999996,1.0526315789473673,2.0524999999999975
state_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9999999999999991,0.9999999999999996,1.0999999999999988
state_12,0.0,1.9999999999999991,2.049999999999998,1.9999999999999991,1.1052631578947358,1.9999999999999991,2.0524999999999975,0.04999999999999995,0.9999999999999996,1.9999999999999991
state_13,0.0,0.0049999999999999906,0.9999999999999996,0.0,0.0,1.049999999999999,1.049999999999999,0.0,0.0,0.0
state_14,0.0,1.0526315789473673,0.9999999999999996,1.9999999999999991,1.049999999999999,0.0,1.9999999999999991,2.1024999999999983,0.0,0.0999999999999999
state_15,0.0,0.0,1.9999999999999991,1.0999999999999988,0.04999999999999995,0.04999999999999995,2.1052631578947345,2.049999999999998,0.0,0.0
state_16,1.0999999999999988,2.0526315789473664,0.0,0.0,1.9999999999999991,1.1052631578947358,0.0,0.0,0.0,0.9999999999999996
state_17,1.9999999999999991,0.0,0.0,0.0,1.0526315789473673,0.055263157894736764,0.0,0.9999999999999996,1.9999999999999991,0.0
state_18,0.0,0.10249999999999984,0.0,0.9999999999999996,1.0527631578947356,0.0,0.0,0.04999999999999992,1.0526315789473657,1.000249999999999
state_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
